image_path,rx,ry,rz,tx,ty,tz
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_23742.png,-97,-6,-1,-12,-2,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_9655.png,-82,-5,2,-4,0,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33599.png,-89,-7,4,-12,2,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28910.png,-85,-5,0,6,4,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4397.png,-87,-5,-1,6,0,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_2928.png,-88,3,3,-12,-2,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_31195.png,-84,-5,-2,-18,-2,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_25082.png,-97,-5,-2,-16,-2,-16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4737.png,-90,-3,1,-18,-8,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_14410.png,-94,-2,4,8,-6,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_27269.png,-85,7,-1,-18,4,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_14168.png,-83,4,-3,-6,-4,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28228.png,-95,-6,-3,0,8,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_18946.png,-83,5,-4,10,8,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_19314.png,-97,5,1,6,6,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3306.png,-84,7,3,-16,0,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_21725.png,-93,6,-2,18,-6,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_12732.png,-97,8,2,-8,-8,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_29759.png,-94,6,3,2,0,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_14099.png,-85,0,-2,-6,6,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_24679.png,-90,0,0,0,-6,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_26997.png,-84,-7,-4,10,2,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_6710.png,-94,7,-4,-10,8,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_18385.png,-90,4,-1,0,8,-8
